lon,k3,k2,k6,k5,k4,lat
-122.406401668335,1,0,4,1,0,37.7866144613366
-122.408201657254,1,0,4,1,0,37.7868849113107
-122.408231026261,1,0,4,1,0,37.787359494956
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.400916029025,1,0,4,1,0,37.7854574902997
-122.418351237622,2,1,0,0,1,37.7570133986695
-122.415929849548,2,1,0,0,1,37.7604330003754
-122.415929849548,2,1,0,0,1,37.7604330003754
-122.41796448376,2,1,0,0,1,37.7586968166489
-122.41506687647,1,0,1,1,0,37.7835634796332
-122.427966288266,2,1,3,3,2,37.7118229386046
-122.427966288266,2,1,3,3,2,37.7118229386046
-122.427966288266,2,1,3,3,2,37.7118229386046
-122.422062730264,1,0,1,4,0,37.7899200014841
